userid, openness, agreeableness, emotional_stability, conscientiousness, extraversion, assigned metric, assigned condition, is_personalized, enjoy_watching ,Avg_Movie_Rating
b6a8cb7e55cbf2c1bde7f2b252203272,5.5,2,2.5,6,2.5, diversity, low,4,4,3.874521813
7211a6a66a5fc549e2d74dacfbb555b2,5.5,4,5.5,4.5,4.5, popularity, low,3,3,4.217810328
2d274b0dd0a7fe38bb172aed02270a7c,6.5,5,5.5,5,5.5, popularity, medium,3,4,4.706627115
428db88497a65655feb825365ad29a4a,7,4,5,5,3.5, all, default,4,4,5.12986994
32babaf7d63853c83739e371efba6929,5,4,2,2.5,1.5, all, default,2,2,4.853297755
183a0f30268fa6fda7b3609f8bcf0f44,6.5,2.5,3.5,5.5,4, serendipity, medium,2,4,3.862307855
eefef5e8659f07c7ca44b300d51559d6,5,4,5.5,3.5,4.5, popularity, medium,2,3,3.340286144
838c3893b7166571c97e796dcaf456d7,6,4,5.5,4,3.5, all, default,4,2,4.961757891
79a402185248690bdee40163a140fde4,5,4,5,4.5,2, serendipity, high,5,5,3.882390705
56e60808b468eb5f0845616fe2714974,4.5,5,5,5,3, popularity, high,3,4,4.370218584
78dca3ab3acdb0ad101245e95332ac68,6,3.5,6,4,3.5, popularity, medium,4,4,4.259983929
10ee6ea6bfb79401fc78e92deba3d2ff,5,3.5,3.5,5,2, popularity, medium,2,2,4.259983929
dd9a68f52fd23e04592bdf08af807371,5.5,4.5,4.5,5.5,2, popularity, high,4,4,4.290128664
c2daea04f1d84f2aa999c92200ec0222,6.5,4,4.5,4,2.5, serendipity, medium,3,3,4.733632747
fb6cc72fc2af933f3c6808fb9a6676c3,4.5,5,3.5,4,2.5, serendipity, medium,4,5,4.437527233
ef94eddb28db4edca56013331b5dec8e,5.5,4,3.5,5.5,4, diversity, low,5,5,4.275758037
d99db273e834f955834ba6ef2a2b60bd,4.5,3,5.5,7,2.5, popularity, low,3,3,4.39969924
cacdd140e39b8f7d9cd5c34781ab1c7c,4.5,3.5,3.5,3,4, diversity, medium,3,4,4.697482812
e7c8485a3bb3eab91465cc76dcbd4748,6.5,3.5,4.5,3,6.5, diversity, low,4,4,3.897603283
e11b65eb0dcb3c57eef5ebd096a5fd6a,6.5,3,5,5.5,2.5, diversity, low,4,4,4.231596034
8bb877fc4d206e9633f41afcf6f434da,4.5,3.5,2.5,5,1.5, diversity, low,3,3,4.231596034
4889e49b9f9ee173d10403b1bbcdf807,7,5,6,6.5,5.5, popularity, high,1,1,5.134709985
977f6a958c559679b9dca86180611d47,4,2.5,4,4.5,3, all, default,2,3,4.904711381
485945b55ab3de6f0b9310efc3f6df6a,7,3,7,7,1.5, all, default,5,5,4.483652202
c0d05df54bcd2985bcd24c3bed2bfd71,5,4.5,5,4,3, popularity, low,2,3,4.994595929
f85537ffab5ed6070c16e0d3c5475a29,6.5,4,4.5,5,6, serendipity, low,4,4,4.034769825
ca12127d5f1198713631a62145557cf5,6.5,5,5,7,3, diversity, low,2,3,4.398180844
298aaf1709b835aede4a4d176445c986,6,5,6,3,5.5, popularity, low,2,4,4.481363001
b94e3f9b71ee6dc3098eb2a5b01c21ee,4.5,5,6,6,1, serendipity, high,4,4,4.316552389
0eae92629ffc0a7f8e3da331d6165c22,4.5,3,5,3.5,3.5, serendipity, low,4,4,4.358017795
79e686209f702d41a8bbb321e093bf06,5,4.5,3,4.5,2.5, serendipity, medium,3,4,4.303335904
4d96607fb54831bf0c2eadf935949509,6,3.5,5.5,4.5,2.5, serendipity, medium,5,5,4.303335904
394fbaab64153b5b0db2344c7e1bc7b8,6,6,6.5,4.5,6, serendipity, high,4,4,4.467704852
0abb6de2204f89752425ce67efcb8a45,5.5,4.5,4,4.5,4, all, default,4,5,4.498062246
8a06e1eb68189ccd352d8c64f09906b8,6.5,2.5,3,4.5,4, serendipity, medium,3,4,4.22625185
2f7b73a8590616814caadf1f5faf21c2,6.5,5.5,6,6,5, popularity, high,2,3,4.335570055
a3f6f847abb6082b391ce58b93a72892,7,3,6.5,6.5,2, popularity, high,1,2,4.335570055
6cb8b74bf49c9125022d672af1a18df6,6.5,3.5,4.5,3.5,5.5, popularity, medium,5,5,4.171781901
748784f3d73e3646d2094242769ebd75,6.5,3.5,3.5,7,5.5, diversity, medium,1,1,3.999301648
bf365c8d86810cb26e345d00b566dc85,5,2.5,6,6,2, all, default,2,5,4.307905097
2991b667daafb17933f40ff1147f592a,5.5,3.5,4,3.5,3, all, default,2,4,4.307905097
aa896478c00fac4050d39a232ed136d9,7,4.5,6.5,6,4.5, diversity, high,1,3,4.842004458
8089532820067141cdda1bef0e24fe6e,6.5,3.5,4.5,4.5,3.5, serendipity, medium,4,4,4.131738536
c11e293807ce2c2f67d577a50ad114eb,7,4,6.5,3,5, popularity, high,4,4,4.820640774
b6a98cdd574405de0a180be9e0eafe73,4,4.5,3.5,6,3, all, default,5,4,4.885177243
670f95d37827130426f3ff36ded5fc13,5,4.5,2.5,3.5,2, serendipity, high,3,2,4.774101569
beaca1a921f1f14b352bf3fedb19b354,7,4,5.5,6,6, serendipity, high,3,3,4.774101569
9fbafed65ef7f97b21f10c266d2c819f,6.5,3.5,4.5,6,4, popularity, medium,3,4,4.282577384
a8628b669a0078a4ed4fbf82b6e047d7,5.5,4,5.5,4,1.5, popularity, high,2,4,4.291065382
41115f617c7fed70e319754f752f043d,6.5,6,6,4,4, popularity, low,4,4,4.269599048
e71887ed5a07922d41a0567ff8c79e12,6,5.5,5.5,6.5,2.5, popularity, low,2,3,4.269599048
a86bdc7d8a4a33649d3290133eb733ad,6,4,4.5,4,5.5, all, default,3,4,4.323065466
1526f4a779cc3723c955cddc3a353187,6.5,5,6,7,4.5, popularity, high,5,5,4.531288844
8cf9bfa3838cfc3f89f16e10a1ee59f4,4.5,4.5,6,3,3, diversity, medium,2,3,4.480976015
b3ae1f573ab0da7ae549c58ca338a14f,6,4,3.5,6.5,1.5, popularity, low,4,4,4.021902608
6df3fb2cc02d06bf4e2c6135ad6da376,5,3.5,6.5,4.5,4.5, all, default,4,4,4.860459472
c6e04c6343a907c961108fef4a8199dd,5,3.5,3.5,3.5,4, serendipity, medium,4,5,4.168065982
45605c7a6be3394394827efa08a9799b,6.5,4.5,1,2.5,3, serendipity, medium,4,4,4.168065982
e585763cc728dbe4831d9da3a09b198f,3,5.5,4.5,4,5, popularity, medium,3,4,3.879037136
7885b124d03dd6f6fb2a7ad04b752fe0,7,5,7,4.5,3, serendipity, high,5,5,4.848005781
074ebec2822594b0edd299f4c537a795,7,4.5,5,4.5,7, diversity, high,2,4,4.232083392
7f60f800e807c63a865f302b2b76a156,5.5,5,5,5,4, popularity, high,4,5,4.151727297
4a2d7cb0d5db038f15697c3b99568b3a,4,6,5.5,4,2, popularity, low,4,5,4.818698848
f7ee86fd173f2330f87e9b7b8467e737,6.5,3.5,7,6,3.5, serendipity, medium,3,2,4.17844646
78e6499e97a0d63098287ab3e5a3d577,5.5,3,4.5,5.5,2.5, all, default,3,4,4.444134448
1c2e6d8d6e0cfb2b41b804da6887bdfd,6,4,3.5,4.5,3, diversity, low,3,3,4.563320548
600ec019e03ab20d98ba29e4119d2145,4.5,4.5,4,4,4, diversity, medium,3,2,4.28217758
5f16b14e2d82c31755291f40e8b0ec73,5,4,6,6.5,2.5, diversity, high,4,3,3.718596696
5af58060b20eaf97e38ef38de5d023a2,4,4,4.5,4,4, diversity, high,3,3,4.443360015
832d86d3a05e2b4973c329471ee9d6c4,5.5,2,2,1.5,2.5, all, default,4,4,4.283690137
bf179c359f7f3a40ef7dc0cc7a96d916,4.5,6,5,6,3, diversity, high,4,4,3.820108371
3cb885f5bbba64cea284e9332bea1d41,6,1,3,7,3, popularity, high,4,4,4.809334546
dcc6eb2145ef8a8f576cb97b62e79359,3.5,5,4.5,5,4.5, diversity, high,4,5,3.924393646
c44856e84d0bf38ab29aac2e4ed37fb2,6.5,2.5,4.5,4,5.5, popularity, medium,4,5,4.383821017
74fc5fd7972ee74838cf90c79e7468e3,4.5,4.5,6,7,2, all, default,4,3,4.022764602
dda27bce673baaf7c1f2d227d6c04f42,5.5,4,6,2.5,4, popularity, low,3,3,5.008865042
10cb5cdac57f0bdc611a9c515218cb3a,6,3.5,4.5,4.5,2, diversity, medium,2,2,4.494711344
606c283f935f7934c965ca764a743959,5.5,3.5,5,5.5,4, popularity, medium,5,5,4.159969579
3f77830c1b96c0ce003e248a069cf61d,6.5,4.5,2.5,5.5,4.5, diversity, medium,5,5,4.703827894
b2ca52bdda6d8c8fd621d1afeda56d18,4,3.5,3.5,4,4, all, default,4,4,4.367548456
556696f7f504c83ddc53459509379d53,4.5,4,3.5,5,3, diversity, high,3,2,4.541944826
9959ffe4dedb8041d94c104e6e39b1cf,7,3,6.5,4,4.5, serendipity, low,3,5,4.189484128
5574eba2387a0b2307f446ac87c2e2a3,5.5,3.5,6,5.5,3, serendipity, low,2,4,4.189484128
8f9f2afd1bdec2bc0ac0711654610368,6,4.5,5.5,4,3.5, diversity, high,3,4,4.433606971
e2f13939d143d8921c77407f1faa36d6,5.5,3.5,6,4.5,2, diversity, high,3,4,4.447053672
03b6619900e1f5554bc066fe5be755ed,7,4,4.5,6.5,1.5, diversity, low,4,4,4.50327074
fa51c8a9ad4010eae58ef1345aa6a241,5.5,6.5,6,6,5, diversity, low,4,4,4.668007831
51deb51779d69d0947428ce7f65de264,4.5,5,3,7,1.5, serendipity, high,2,4,4.377084124
ecc745900000136738f3bc574ae233c6,7,2.5,5,3.5,2.5, serendipity, high,1,3,4.030302057
a016f499808cff7b7912ecea5fc3bd92,6,4,5,4,2.5, serendipity, medium,4,4,4.536490173
353ff77978efc9ba25632dc21d837bdb,6.5,4,6,4.5,4, popularity, high,4,5,4.017562776
1d3043a095d56bbba6a4fc9589edc6df,5,4.5,5.5,4,4.5, serendipity, medium,2,2,4.736116578
ee6e559a70c5b3b092fffc14e94fc89f,6,3.5,4.5,2.5,4.5, popularity, medium,3,3,4.219624875
361ea6536a6f61563495650b55f70e8a,6,4.5,3,5.5,6, diversity, medium,4,4,3.913384901
c37b3d7813f3e6642e47ed82c46fa8a8,5,4,3.5,4,1, serendipity, medium,4,4,4.413025284
25818c3dd647d4a78eebad93b2191c4d,5.5,3.5,2,3.5,1.5, popularity, low,4,5,4.502321624
cd1a74f9c820092953698e2776307427,6,3.5,4,3,3.5, popularity, medium,3,4,4.567444896
d9924c1cad7cfaaf0143c73323ecf75a,6.5,4,6,4.5,3.5, popularity, medium,2,4,4.567444896
fcdd8aebd0b45961e07b82a64994f9cb,5.5,4,5.5,3.5,5.5, popularity, medium,4,4,4.567444896
2d5091f46b227e53ec876e460c7fd31f,7,6,6,4.5,3, popularity, high,4,4,4.211666999
a66e7f83b26de15fef7b721f75affee6,6.5,3.5,2,3,3.5, serendipity, high,4,3,4.329001026
4f9172efcb81db834498674dc3e03570,7,2.5,6,5.5,5, diversity, medium,4,4,4.367128049
4d3868d25a632ec1f26b9bd2d9bc5678,6.5,3.5,4,6.5,6, popularity, high,2,2,4.597245799
5fe6685734bc25fd5d7796414305cacc,4,2,3.5,3,2, diversity, medium,3,4,3.786424379
0a15cfbb832dad71e3dff5a54f6f6744,6.5,3.5,7,6,2, serendipity, low,3,5,4.112097911
0f741cad145cb26ecb0105b3525e1ecf,5.5,5.5,3,4.5,2, serendipity, low,1,4,4.112097911
20713248bf5a8181bc2feeb0ffbf9ee2,6,4,3.5,5,1.5, popularity, low,2,2,3.620389809
1beb192fcbfba3b6afa17b00ae68605a,4,4.5,5.5,5.5,6, all, default,3,4,3.902880563
8e6ac49cfc652f613945d0122864a0bc,6,3,6.5,7,2, all, default,3,4,4.533951395
bc594620812a29d7c814ee128bb12427,5.5,4,6.5,2.5,3.5, all, default,5,5,4.533951395
f1b4c71d4f779ba63ff8e6079e0f956b,5,4,5,5,3, popularity, low,3,4,4.505684147
638167696ccf09b6cac03aff39ac381a,3.5,3,3,5.5,2, diversity, high,4,4,4.418551643
86909896cc043504051d9aa5b062e65f,4.5,6,4.5,5,5, serendipity, high,3,4,4.309422112
92db41588fb6acb7b8056401602ed159,5.5,1,5.5,7,1, all, default,3,3,3.860987844
9c337bc9a8eae89122bbe726840f9d56,3,4.5,4,6,1.5, popularity, medium,4,4,4.132576875
0867d54431f3ab8832122430352b1c5d,5,3.5,3,4.5,2, popularity, high,4,5,4.162569861
303cf2ce8a2b17c753a8d3be988e11fd,5,5.5,7,7,1.5, diversity, high,4,4,4.522380305
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,3,2,4.008085621
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,3,2,4.008085621
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,3,2,4.008085621
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,3,2,4.008085621
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,3,2,4.008085621
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,3,2,4.008085621
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,3,2,4.008085621
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,3,2,4.008085621
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,3,2,4.008085621
7f6196cb38a8743fc7b0074fb22fed51,4,6,6,5,4, serendipity, medium,1,3,4.122052084
20a4a75b95177dc14f6b9081dbd6e303,5,2.5,4,3,2.5, popularity, low,1,1,3.790399058
a5f33f1822d09635446a5c6b6c9fd2e4,5.5,3.5,4.5,5.5,2.5, popularity, low,3,3,3.790399058
18e37deb2d36f25d6c38800f94afab02,5.5,4,5,5,4.5, serendipity, high,3,4,4.285686749
efd2126d7f53a77c39bfdd818a903e76,4.5,4.5,4,4,4.5, popularity, high,3,4,4.447387371
cd3006656ff803042fd9ac99a3f0f9f5,4.5,4,5.5,5,6, serendipity, medium,4,4,3.470254201
5793d3389ed374077fb52edf7f1b0c67,6,3.5,3.5,4.5,5.5, serendipity, medium,4,3,3.470254201
eac2e1281daa55e8303d234ad31b6fde,5,4,5,6,6.5, all, default,3,4,4.644813108
edfa9b859c9570eeaa11708eb867f59f,5.5,4,6.5,6,6.5, popularity, low,1,3,4.419098304
edf136ea4b8d6ea43f221d3ec0681d1b,5.5,5.5,6.5,2.5,2, popularity, low,4,5,4.549512268
52010b521656518e8aa3937301e08b43,4,3,6,3.5,3.5, diversity, medium,4,4,4.269312238
2a07d165d2b0edb986114842d38c6d96,2.5,4.5,5,5.5,3, serendipity, high,2,2,4.181501269
2d308fa640bc031d7c439d20619b6108,6,3,6,4,4, popularity, high,1,2,4.068599969
353d73a2d9c5ba0b21e4186d567502b3,5.5,5,4.5,3,2, popularity, high,3,4,4.068599969
10dae2db89bc660a12ae0a03ec03a28d,6,4.5,2,4.5,3.5, popularity, high,3,4,3.637239467
d378c1181977ffb28cf8e6b7f1c1e178,5,6,1.5,3,1.5, serendipity, high,1,2,4.328787045
51486a050b36f396d461df563f9a8772,5.5,7,5.5,6,4, diversity, medium,4,4,4.120818357
dd91994e50a6958da1684d70cbc38448,6.5,4.5,4,7,1.5, diversity, low,4,4,4.283338131
efa5986beae190da893c945cb20e0adb,6.5,4,5.5,5.5,3.5, popularity, low,2,2,4.379017807
786d18a26d4a6a97f97df8e7ac04a5c7,6.5,5,4.5,2,3.5, diversity, medium,2,5,3.81320549
19812ede65f4926b814f3c21d78af3c7,5.5,3.5,6,2.5,4, popularity, medium,3,2,4.389467422
badbb6d131b0db34852e5b7a6fea1ae6,7,3,2.5,4,1.5, diversity, high,5,4,4.666252055
704918231591527266cb521ba7b37255,7,3,6,5.5,3.5, diversity, high,2,3,4.666252055
d94778708f4215e6dd10b32e022df06b,5,5,6,6,5.5, all, default,3,3,4.499533105
543e04330448412fc8a2540c47fe023d,6,6,6,5.5,2, serendipity, low,2,3,3.773502283
8f27982a6eaeba38c1c38b92e01ea2fd,6.5,3,5.5,4,4.5, serendipity, low,4,4,4.369258786
6cf0999127f571d16808c058e5087443,6,2.5,3,4.5,2.5, popularity, low,4,4,4.616216083
e21b648e43e0de5c5381093191276c1a,3.5,4,3.5,6,1.5, serendipity, low,2,3,3.981842064
a44eac2fba62477adfb8b519dc8ae3b7,7,3,7,2.5,4, serendipity, low,5,5,4.478052935
6bb2e5d0393b5cafea63735ff0a14eca,6.5,5.5,3.5,5.5,2.5, serendipity, medium,2,3,4.153301793
c56613815b9f708eb9df7eb6afd42a49,6,3.5,4,3,2.5, diversity, high,2,4,4.204069384
c56613815b9f708eb9df7eb6afd42a49,6,3.5,4,3,2.5, diversity, high,2,4,4.204069384
d8a5ed118c07a72f44e920900a4288ec,5,5,5.5,5.5,2.5, serendipity, medium,3,4,3.970761334
662067cb7aa1cd665c05325bc6ae27e3,6,3.5,5.5,5.5,2, diversity, low,4,3,4.114431372
f3fcfc2d7f42ae5dccfd7652c7c8657e,6.5,5,3.5,5,4.5, diversity, high,3,4,4.581537323
b6526710ce105aa5e6a229bbb895cda7,5.5,3.5,6.5,6,2, serendipity, low,5,5,4.026094625
b54372490fb6e3ccace51c0e3541db08,6,4.5,4,5,3, diversity, high,3,3,5.74171389
9f94b45bfa92d23e603e8f1028cd84d9,5,3,4.5,5,3.5, all, default,2,2,4.777913835
8667bb6dd8ba7f2c06228fc7ae5287fa,6,2.5,5.5,7,3.5, serendipity, high,3,2,3.704255359
9aa6170f7b9b4a83e695a66bdf482727,4.5,6,5,5.5,2.5, serendipity, low,4,5,4.221897783
486e25befec8173dae20c0dc83ad51cf,5,6,5.5,6.5,4, diversity, low,4,4,4.365135088
8a90d8a5aa3eb0be3da2c9b9cdae731c,6.5,1.5,3.5,4.5,1.5, serendipity, high,4,4,3.44244463
4fae0695454a986d8328aadba1534575,7,3,5,6.5,3, popularity, high,4,3,4.503639809
d37f84871a66c3cdc56e168698eb4df3,5,4,4,3.5,2, serendipity, high,4,4,3.759371679
7659442ea387e7ac749cfa103cd00e3e,5,5.5,5.5,3.5,1, popularity, low,4,3,4.446795589
406e524e5672daf6c95bd4a77b99aab1,5.5,5.5,5,5,4.5, popularity, high,3,3,3.965643803
381bf101484423aeae3cdec929ea7bc9,7,4,4,1,7, popularity, high,2,4,3.965643803
4bac3a1b102aa762bb7e0e6dba956848,6,2.5,4,3.5,4, popularity, high,4,5,4.902491351
90eb6bb64582f5f267d5878b13889e13,6.5,3.5,3,4.5,5.5, popularity, low,4,4,4.67615341
08614ffe83a9fd656e55a3b04ad63260,4,5,5.5,1.5,4.5, diversity, low,3,4,4.553957562
65d4d19da29991525bee31a46234c2f3,5.5,2,4.5,3,2.5, popularity, high,3,4,4.432741453
7f9708943d2b76715b1ea4c806eaa0ce,5,4.5,4,5,3, popularity, high,5,5,5.078276669
8dfc6bf83800d081dd4bcec2468d6b9e,6,5,4.5,3,3, serendipity, high,2,4,4.461961382
060ba368aa0c89036bcd60d2eaf0821d,6.5,4.5,2.5,5,2, serendipity, high,3,4,4.461961382
1ac24c5d40258d0fb475b6245f162f8d,5.5,5.5,4.5,4.5,1.5, all, default,4,5,4.271462605
8b9e61814ef647f8c5ae98e10850f06f,3.5,4.5,5,4.5,3, popularity, low,2,2,4.443305845
da8db4006fe6c67be94f8a614ad1f4c2,5.5,5,5.5,4,2.5, popularity, low,4,4,4.443305845
f9603f3aae08b94fe9ef7b63f0d43024,5.5,2.5,4.5,4,2.5, serendipity, high,4,3,4.459793946
71682560577748eb0b869b6462112f37,5,5,6,6.5,3, diversity, high,4,4,4.044000486
54a8d9bafb14bbc34bd29bb43afd4f9a,5.5,4,4,7,4.5, diversity, medium,4,5,5
03e2da2157f1a7784d4f832c99e445ca,4.5,1.5,1.5,1,1.5, serendipity, low,4,3,3.597908928
c623f6851b15b4c186774ea9955589e5,4,3.5,3.5,2.5,2.5, serendipity, low,3,4,3.597908928
65aeb1745e7cdf4642109a670b4d6458,6,3.5,7,4.5,4, diversity, medium,4,5,4.260385314
6a053797512306a66c59b6cff357cc06,5.5,4,3,5.5,2, diversity, medium,3,4,4.278286968
7ffab5e3c024846850f64eb201158056,3.5,4.5,3.5,5.5,1, diversity, medium,4,4,4.278286968
58a83486a60dace4c8af7063547a49f4,5,5,4,4,2.5, all, default,3,3,4.025027694
4d39661a6f14a86294dcb3de363fd611,5.5,5,7,5,4, diversity, low,4,4,4.221653808
2eec4f7595ed7e12c5a3bc569201be75,7,4,5,5.5,2, diversity, high,4,2,3.94385582
64efa50b45006b598299b36668c8239b,6.5,5,3.5,3.5,5.5, serendipity, low,3,4,4.860689247
dcb530d26152e6752fa160a814de746d,5,3.5,3,3,5, popularity, low,2,2,3.728308017
912e6694323e3ff866454a3dec7a3191,4.5,5,7,5,3.5, popularity, high,2,4,4.204273052
7eff941fb12dfce8f7ee4c2df3ba7c95,1.5,4.5,6,5.5,1.5, all, default,3,4,4.687885431
81c003cb981c02b9505b36fd24719f34,5.5,2.5,3,3,1.5, all, default,2,2,4.687885431
6e0a23b6ba9f545e9710e84d6abbbbb7,4.5,3.5,5,6,1, diversity, medium,1,2,4.253341568
5062e82d9cba84189619eddeabf75b61,4,4,3.5,4.5,4, serendipity, high,1,1,4.973670562
ad1eaec7f349e41a8294f4b37819abf4,6,1.5,3,6,3.5, serendipity, high,4,4,4.973670562
1589809ad03d8e959aa877fcb4e2d409,4.5,4,4.5,5,5, serendipity, medium,2,4,4.057930988
4553b9eb63ff23c392c5387e59499443,5.5,4,3.5,5,3, all, default,1,1,4.200413556
38c6ad75bb8b9fc638c9b04125c17327,6,2,2.5,3,4, serendipity, low,2,3,4.160727417
b72d1cea770268863d0d2d29a1bd5ec7,6,4,3,5,3, serendipity, low,2,2,3.824854434
bbb86c7543b10351c5383686af32e343,7,1.5,2,6.5,1, serendipity, high,4,3,4.376205509
5f026502b710cc151ee87ae8f87f4b5d,6,6,3,4,3.5, popularity, low,3,3,4.41878884
526ca835abe8d4fba1c3df064ce4ff4c,6,5,5,4,2, diversity, low,4,4,4.476201668
4ab3349d1049a8fb87c9251949ef151b,6,4,4.5,5,4, popularity, low,4,4,4.438480073
71ecdf86e2b14ada2f0818436eec5d08,6,3,5.5,6,3, serendipity, high,5,5,3.570715746
0d3c66e7cfdb6eef3fbe49735a9a675d,3.5,5.5,4.5,6,2, all, default,5,4,4.481190324
22a90687d75b8a1c3c2728b509f6038c,5,3,4,5.5,4, serendipity, high,2,2,4.454110737
232d2f22041afde422287a0028a76213,4,3,3.5,4,6, diversity, medium,4,4,4.249875732
f75ca3a770eff0f9ec5cfe7f8958ee95,4,3.5,3.5,4,1.5, popularity, high,2,3,3.824500075
b859f082abcb36d7172ee75198a7153d,4,5,5.5,5,4, diversity, medium,2,3,4.561979382
3bb6ac2a53ef5952c766c1a3ef4147cc,5.5,3.5,4,3.5,5, popularity, medium,1,2,4.344373958
fc53446ee27f8ddd2950eb46f3a69d4c,4,3.5,2.5,6,2.5, all, default,4,2,4.004450914
a365eb5c2bc825c8bb833ff0bd3f17c7,5,2.5,5,5.5,3.5, serendipity, high,3,5,3.823827903
327856e80e5b3d161fe06de77dae0a75,5,4.5,4.5,3,2, popularity, high,4,4,3.931368847
e46267204fe0da35710877834f57a3b4,5,3.5,3,4,3, popularity, low,3,4,3.942662463
69d76280e729549e9a473cb1311f66ff,6,4,2,1.5,1, all, default,4,2,4.263591523
7022dea54f1bec65ee4e538ffcd84a6a,3.5,3.5,3,4,3, serendipity, low,3,3,4.155520636
a88b5a4e66f02d062ab7a48b7cd8c7df,7,5,6.5,7,5.5, diversity, medium,4,5,4.249424664
c10b484c3f63a9e542c1f16c040c67e0,5.5,3.5,4,5.5,4.5, serendipity, low,1,3,3.875980237
46129e09a0c43f1076de43940bdef444,6.5,3,5,3,3, serendipity, low,4,4,3.875980237
2e3fd5ac66876b88871475e223e2a886,6,6.5,6,6,6, popularity, high,2,4,3.881515774
677e7b5a7940508fd61493b9c9c5e9c6,6,4,6.5,4.5,5, popularity, low,2,3,3.940110966
83408379248e8cd55567b94a256112dd,6,5.5,7,7,4.5, diversity, high,4,3,4.974230359
6ed2b68d81517c07df7021d48fac54e9,5,4,5,3.5,4.5, popularity, low,2,4,4.770370272
76687b29c04a6f0e657ae2577f742d4f,5,4.5,6.5,5,3, diversity, high,2,3,4.164054826
318b8b8173dbe08826361d569469d89e,4.5,5,5,4.5,4, popularity, low,3,4,4.251382619
3e1c3ef46aaa8b57458d2df424f99f1e,5,4,3,3.5,3, serendipity, high,2,4,4.607814901
f3747b8108c7c49cacd81747b7069e7e,5,3.5,4.5,3.5,3, diversity, medium,4,3,4.364961227
1b0ea76e8cbb57d3a8810be5c8d476f8,5,3,6,5.5,2, all, default,4,3,4.483892856
9272ed3b8dc619b4f9db9e77a99cc8f3,5.5,3,4.5,5,5, serendipity, medium,4,3,4.389350499
5235f99bc3f1b24867aa647d389e6e3f,4,1.5,2.5,6,1, serendipity, low,4,3,4.657612587
8834c73dd9fafa87e3e0b78a539792af,4,5.5,4,6,4, popularity, medium,2,4,3.913524887
2681d2f166d9d5351accab7ca1c6b00c,2,5,5,5.5,1, popularity, medium,4,4,3.913524887
8ff1d39a31b8e5be6feb61e517b9b04f,5.5,4,7,4.5,2.5, diversity, low,4,3,3.784302439
574c857ea4e6df0d97f75df6a03510a5,4.5,3.5,5.5,5.5,3.5, all, default,2,3,4.161054094
17998bc86567f5b606e15df37749eb53,5,6.5,6.5,5.5,6, popularity, medium,2,3,4.372844672
